feature_name,dtype,current_status,online_available_at_prediction_time,leakage_risk,source_system,availability_latency,replacement_strategy,candidate_contract_status,candidate_feature_name,block_category,evidence
actual_load_roll_mean_24,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_mean_24,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_mean
actual_load_roll_std_24,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_std_24,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_std
actual_load_roll_mean_168,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_mean_168,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_mean
actual_load_roll_std_168,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_std_168,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_std
temperature_roll_mean_24,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_mean_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_mean
temperature_roll_std_24,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_std_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_std
temperature_roll_mean_168,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_mean_168,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_mean
temperature_roll_std_168,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_std_168,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_std
wind_speed_roll_mean_24,numeric,block,yes,none_after_anchor_cutoff,historical_wind_speed,1h_reporting_guard,deterministic_online_derivation,replaced,wind_speed_anchor_mean_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_mean
wind_speed_roll_std_24,numeric,block,yes,none_after_anchor_cutoff,historical_wind_speed,1h_reporting_guard,deterministic_online_derivation,replaced,wind_speed_anchor_std_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_std
precipitation_roll_mean_24,numeric,block,yes,none_after_anchor_cutoff,historical_precipitation,1h_reporting_guard,deterministic_online_derivation,replaced,precipitation_anchor_mean_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_mean
precipitation_roll_std_24,numeric,block,yes,none_after_anchor_cutoff,historical_precipitation,1h_reporting_guard,deterministic_online_derivation,replaced,precipitation_anchor_std_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_std
da_price_ewm_mean_6,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_ewm_std_6,numeric,allow,no_not_in_candidate,low,raw_market plus prior model outputs in same run,generated_during_recursive_inference,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
da_price_ewm_mean_24,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_mean_24,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_24h_mean
da_price_ewm_std_24,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_std_24,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_24h_std
da_price_ewm_mean_168,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_mean_168,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_168h_mean
da_price_ewm_std_168,numeric,allow,yes,none_after_anchor_cutoff,historical_da_price,published_day_ahead,deterministic_online_derivation,replaced,da_price_anchor_std_168,not_applicable,Day6A matrix row; candidate derivation=shift_24h_then_trailing_168h_std
forecast_load_ewm_mean_24,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_ewm_std_24,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_ewm_mean_168,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
forecast_load_ewm_std_168,numeric,block,no_not_in_candidate,low,LoadForecastProvider; current code only has PJM historical feed/file fallback,official_future_load_forecast_required,remove,excluded,,provider_missing,Day6A matrix row; excluded from online-safe candidate manifest
actual_load_ewm_mean_24,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_mean_24,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_mean
actual_load_ewm_std_24,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_std_24,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_std
actual_load_ewm_mean_168,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_mean_168,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_mean
actual_load_ewm_std_168,numeric,retrain_required,yes,none_after_anchor_cutoff,historical_actual_load,1h_reporting_guard,deterministic_online_derivation,replaced,actual_load_anchor_std_168,not_applicable,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_std
temperature_ewm_mean_24,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_mean_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_mean
temperature_ewm_std_24,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_std_24,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_24h_std
temperature_ewm_mean_168,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_mean_168,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_mean
temperature_ewm_std_168,numeric,block,yes,none_after_anchor_cutoff,historical_temperature,1h_reporting_guard,deterministic_online_derivation,replaced,temperature_anchor_std_168,provider_missing,Day6A matrix row; candidate derivation=shift_25h_then_trailing_168h_std
hour_bias_mean,numeric,retrain_required,no_not_in_candidate,prohibited,none; current engine injects constant 0.0,unavailable_online_placeholder,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
scenario_mae,numeric,retrain_required,no_not_in_candidate,prohibited,none; current engine injects constant 0.0,unavailable_online_placeholder,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
historical_under_predict_rate,numeric,retrain_required,no_not_in_candidate,prohibited,none; current engine injects constant 0.0,unavailable_online_placeholder,remove,excluded,,not_applicable,Day6A matrix row; excluded from online-safe candidate manifest
