Method,Path,Module,Handler,Route Name,Response Model,Risk Level,Current Guard,Target Guard,Required Permission,Allowed Roles,Anonymous,Write Operation,Frontend Consumer,Notes
DELETE,/api/scheduled-tasks/{task_name},backend.app.api.v1.endpoints.task,scheduled_task_delete,scheduled_task_delete,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:516,none
GET,/api/security/me,backend.app.api.v1.endpoints.system,security_me,security_me,<class 'dict'>,business,auth:get_current_user,authenticated+permission:auth:self,auth:self,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:404,none
GET,/api/security/permissions,backend.app.api.v1.endpoints.system,security_permissions,security_permissions,<class 'dict'>,sensitive,auth:get_current_user|permission:security:read,authenticated+permission:security:read,security:read,admin|developer,no,no,frontend/src/api.ts:405,none
GET,/api/settings/audit-logs,backend.app.api.v1.endpoints.system,settings_audit_logs,settings_audit_logs,<class 'dict'>,sensitive,auth:get_current_user|permission:audit:read,authenticated+permission:audit:read,audit:read,admin|developer,no,no,frontend/src/api.ts:457,none
GET,/api/settings/config,backend.app.api.v1.endpoints.system,settings_config,settings_config,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:411;frontend/src/api.ts:412,same-path methods=GET|POST
POST,/api/settings/config,backend.app.api.v1.endpoints.system,settings_config_save,settings_config_save,<class 'dict'>,admin,auth:get_current_user|permission:settings:write,authenticated+permission:settings:write,settings:write,admin,no,yes,frontend/src/api.ts:411;frontend/src/api.ts:412,same-path methods=GET|POST
GET,/api/settings/health,backend.app.api.v1.endpoints.system,settings_health,settings_health,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:413,none
GET,/api/settings/interfaces,backend.app.api.v1.endpoints.system,settings_interfaces,settings_interfaces,<class 'dict'>,sensitive,auth:get_current_user|permission:settings:write,authenticated+permission:settings:read,settings:read,admin|developer,no,no,none,none
GET,/api/settings/interfaces/configs,backend.app.api.v1.endpoints.system,settings_interfaces_configs,settings_interfaces_configs,<class 'dict'>,sensitive,auth:get_current_user|permission:settings:write,authenticated+permission:settings:read,settings:read,admin|developer,no,no,none,none
GET,/api/settings/interfaces/overview,backend.app.api.v1.endpoints.system,settings_interfaces_overview,settings_interfaces_overview,<class 'dict'>,sensitive,auth:get_current_user|permission:settings:write,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:459,none
POST,/api/settings/interfaces/test-all,backend.app.api.v1.endpoints.system,settings_interfaces_test_all,settings_interfaces_test_all,<class 'dict'>,admin,auth:get_current_user|permission:settings:write,authenticated+permission:settings:write,settings:write,admin,no,yes,frontend/src/api.ts:471,none
GET,/api/settings/interfaces/test-logs,backend.app.api.v1.endpoints.system,settings_interfaces_test_logs,settings_interfaces_test_logs,<class 'dict'>,sensitive,auth:get_current_user|permission:settings:write,authenticated+permission:settings:read,settings:read,admin|developer,no,no,none,none
PUT,/api/settings/interfaces/{interface_id},backend.app.api.v1.endpoints.system,settings_interface_update,settings_interface_update,<class 'dict'>,admin,auth:get_current_user|permission:settings:write,authenticated+permission:settings:write,settings:write,admin,no,yes,frontend/src/api.ts:459;frontend/src/api.ts:468;frontend/src/api.ts:471,none
POST,/api/settings/interfaces/{interface_id}/test,backend.app.api.v1.endpoints.system,settings_interface_test,settings_interface_test,<class 'dict'>,admin,auth:get_current_user|permission:settings:write,authenticated+permission:settings:write,settings:write,admin,no,yes,frontend/src/api.ts:470,none
GET,/api/settings/roles/permissions,backend.app.api.v1.endpoints.system,settings_roles_permissions,settings_roles_permissions,<class 'dict'>,sensitive,auth:get_current_user|permission:user:read,authenticated+permission:user:read,user:read,admin|developer,no,no,frontend/src/api.ts:448;frontend/src/api.ts:450,same-path methods=GET|PUT
PUT,/api/settings/roles/permissions,backend.app.api.v1.endpoints.system,settings_roles_permissions_update,settings_roles_permissions_update,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:448;frontend/src/api.ts:450,same-path methods=GET|PUT
GET,/api/settings/runtime-config,backend.app.api.v1.endpoints.system,settings_runtime_config,settings_runtime_config,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:417;frontend/src/api.ts:418,same-path methods=GET|PUT
PUT,/api/settings/runtime-config,backend.app.api.v1.endpoints.system,settings_runtime_config_update,settings_runtime_config_update,<class 'dict'>,admin,auth:get_current_user|permission:settings:write,authenticated+permission:settings:write,settings:write,admin,no,yes,frontend/src/api.ts:417;frontend/src/api.ts:418,same-path methods=GET|PUT
GET,/api/settings/security-policy,backend.app.api.v1.endpoints.system,settings_security_policy,settings_security_policy,<class 'dict'>,sensitive,auth:get_current_user|permission:user:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:451;frontend/src/api.ts:453,same-path methods=GET|PUT
PUT,/api/settings/security-policy,backend.app.api.v1.endpoints.system,settings_security_policy_update,settings_security_policy_update,<class 'dict'>,admin,auth:get_current_user|permission:settings:write,authenticated+permission:settings:write,settings:write,admin,no,yes,frontend/src/api.ts:451;frontend/src/api.ts:453,same-path methods=GET|PUT
GET,/api/settings/status/check-records,backend.app.api.v1.endpoints.system,settings_check_records,settings_check_records,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:419,none
GET,/api/settings/status/health-details,backend.app.api.v1.endpoints.system,settings_health_details,settings_health_details,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:416,none
GET,/api/settings/status/overview,backend.app.api.v1.endpoints.system,settings_status_overview,settings_status_overview,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:414,none
GET,/api/settings/status/summary,backend.app.api.v1.endpoints.system,settings_status_summary,settings_status_summary,<class 'dict'>,sensitive,auth:get_current_user|permission:dashboard:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:415,none
GET,/api/settings/status/task-queue-snapshot,backend.app.api.v1.endpoints.system,settings_task_queue_snapshot,settings_task_queue_snapshot,<class 'dict'>,sensitive,auth:get_current_user|permission:task:read,authenticated+permission:settings:read,settings:read,admin|developer,no,no,frontend/src/api.ts:420,none
GET,/api/settings/users,backend.app.api.v1.endpoints.system,settings_users,settings_users,<class 'dict'>,sensitive,auth:get_current_user|permission:user:read,authenticated+permission:user:read,user:read,admin|developer,no,no,frontend/src/api.ts:429,same-path methods=GET|POST
POST,/api/settings/users,backend.app.api.v1.endpoints.system,settings_user_create,settings_user_create,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:429,same-path methods=GET|POST
GET,/api/settings/users/overview,backend.app.api.v1.endpoints.system,settings_users_overview,settings_users_overview,<class 'dict'>,sensitive,auth:get_current_user|permission:user:read,authenticated+permission:user:read,user:read,admin|developer,no,no,frontend/src/api.ts:421,none
DELETE,/api/settings/users/{user_id},backend.app.api.v1.endpoints.system,settings_user_delete,settings_user_delete,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:421;frontend/src/api.ts:431;frontend/src/api.ts:447,same-path methods=DELETE|PUT
PUT,/api/settings/users/{user_id},backend.app.api.v1.endpoints.system,settings_user_update,settings_user_update,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:421;frontend/src/api.ts:431;frontend/src/api.ts:447,same-path methods=DELETE|PUT
POST,/api/settings/users/{user_id}/assign-role,backend.app.api.v1.endpoints.system,settings_user_assign_role,settings_user_assign_role,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:442,none
POST,/api/settings/users/{user_id}/disable,backend.app.api.v1.endpoints.system,settings_user_disable,settings_user_disable,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:433,none
POST,/api/settings/users/{user_id}/enable,backend.app.api.v1.endpoints.system,settings_user_enable,settings_user_enable,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:435,none
POST,/api/settings/users/{user_id}/reset-password,backend.app.api.v1.endpoints.system,settings_user_reset_password,settings_user_reset_password,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:437,none
GET,/api/source/context,backend.app.api.v1.endpoints.forecast,source_context,source_context,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:274,none
GET,/api/strategies,backend.app.api.v1.endpoints.strategy,governed_strategy_list,governed_strategy_list,<class 'dict'>,business,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
POST,/api/strategies/generate,backend.app.api.v1.endpoints.strategy,governed_strategy_generate,governed_strategy_generate,<class 'dict'>,business,auth:get_current_user|permission:strategy:generate,authenticated+permission:strategy:generate,strategy:generate,admin|analyst,no,yes,frontend/src/api.ts:293,none
GET,/api/strategies/latest,backend.app.api.v1.endpoints.strategy,governed_strategy_latest,governed_strategy_latest,<class 'dict'>,business,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/strategies/rules,backend.app.api.v1.endpoints.strategy,governed_strategy_rules,governed_strategy_rules,<class 'dict'>,business,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/api/strategies/{strategy_id},backend.app.api.v1.endpoints.strategy,governed_strategy_detail,governed_strategy_detail,<class 'dict'>,business,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:293,none
POST,/api/strategies/{strategy_id}/approve,backend.app.api.v1.endpoints.strategy,governed_strategy_approve,governed_strategy_approve,<class 'dict'>,sensitive,auth:get_current_user|permission:strategy:review,authenticated+permission:strategy:review,strategy:review,admin|reviewer,no,yes,none,none
GET,/api/strategies/{strategy_id}/evidence,backend.app.api.v1.endpoints.strategy,governed_strategy_evidence,governed_strategy_evidence,<class 'dict'>,business,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:294,none
POST,/api/strategies/{strategy_id}/publish,backend.app.api.v1.endpoints.strategy,governed_strategy_publish,governed_strategy_publish,<class 'dict'>,admin,auth:get_current_user|permission:strategy:publish,authenticated+permission:strategy:publish,strategy:publish,admin,no,yes,none,none
POST,/api/strategies/{strategy_id}/reject,backend.app.api.v1.endpoints.strategy,governed_strategy_reject,governed_strategy_reject,<class 'dict'>,sensitive,auth:get_current_user|permission:strategy:review,authenticated+permission:strategy:review,strategy:review,admin|reviewer,no,yes,none,none
POST,/api/strategies/{strategy_id}/return,backend.app.api.v1.endpoints.strategy,governed_strategy_return,governed_strategy_return,<class 'dict'>,sensitive,auth:get_current_user|permission:strategy:review,authenticated+permission:strategy:review,strategy:review,admin|reviewer,no,yes,none,none
GET,/api/strategies/{strategy_id}/reviews,backend.app.api.v1.endpoints.strategy,governed_strategy_reviews,governed_strategy_reviews,<class 'dict'>,sensitive,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:review,strategy:review,admin|reviewer,no,no,frontend/src/api.ts:295,none
POST,/api/strategies/{strategy_id}/submit,backend.app.api.v1.endpoints.strategy,governed_strategy_submit,governed_strategy_submit,<class 'dict'>,business,auth:get_current_user|permission:strategy:submit,authenticated+permission:strategy:submit,strategy:submit,admin|analyst,no,yes,none,none
POST,/api/strategies/{strategy_id}/{action},backend.app.api.v1.endpoints.strategy,governed_strategy_admin_action,governed_strategy_admin_action,<class 'dict'>,admin,auth:get_current_user|permission:strategy:publish,authenticated+permission:strategy:manage,strategy:manage,admin,no,yes,frontend/src/api.ts:294;frontend/src/api.ts:295;frontend/src/api.ts:296,none
GET,/api/strategy/config,backend.app.api.v1.endpoints.strategy,strategy_config,strategy_config,<class 'dict'>,business,auth:get_current_user|permission:dashboard:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:283;frontend/src/api.ts:284,same-path methods=GET|POST
POST,/api/strategy/config,backend.app.api.v1.endpoints.strategy,strategy_config_save,strategy_config_save,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:strategy:manage,strategy:manage,admin,no,yes,frontend/src/api.ts:283;frontend/src/api.ts:284,same-path methods=GET|POST
POST,/api/strategy/generate,backend.app.api.v1.endpoints.strategy,strategy_generate,strategy_generate,<class 'dict'>,business,auth:get_current_user|permission:strategy:generate,authenticated+permission:strategy:generate,strategy:generate,admin|analyst,no,yes,frontend/src/api.ts:282,none
GET,/api/strategy/latest,backend.app.api.v1.endpoints.strategy,strategy_latest,strategy_latest,<class 'dict'>,business,none,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:279,none
POST,/api/strategy/reviews,backend.app.api.v1.endpoints.strategy,strategy_review_save,strategy_review_save,<class 'dict'>,sensitive,auth:get_current_user|permission:task:run,authenticated+permission:strategy:review,strategy:review,admin|reviewer,no,yes,frontend/src/api.ts:285,none
GET,/api/strategy/runtime-facts,backend.app.api.v1.endpoints.strategy,strategy_runtime_facts,strategy_runtime_facts,<class 'dict'>,business,auth:get_current_user|permission:strategy:read,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:281,none
GET,/api/strategy/today,backend.app.api.v1.endpoints.strategy,strategy_today,strategy_today,<class 'dict'>,business,none,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:280,none
GET,/api/strategy/{run_id},backend.app.api.v1.endpoints.strategy,strategy_by_run,strategy_by_run,<class 'dict'>,business,none,authenticated+permission:strategy:read,strategy:read,admin|analyst|viewer|reviewer|developer,no,no,frontend/src/api.ts:279;frontend/src/api.ts:280;frontend/src/api.ts:281;frontend/src/api.ts:282;frontend/src/api.ts:283;frontend/src/api.ts:284;frontend/src/api.ts:285,none
GET,/api/task/recent,backend.app.api.v1.endpoints.task,task_recent,task_recent,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,frontend/src/api.ts:508,none
GET,/api/tasks,backend.app.api.v1.endpoints.task,task_list,task_list,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,frontend/src/api.ts:506;frontend/src/api.ts:507,same-path methods=GET|POST
POST,/api/tasks,backend.app.api.v1.endpoints.task,task_create,task_create,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:506;frontend/src/api.ts:507,same-path methods=GET|POST
GET,/api/tasks/health,backend.app.api.v1.endpoints.task,task_health,task_health,<class 'dict'>,sensitive,none,authenticated+permission:task:diagnostics,task:diagnostics,admin|developer,no,no,frontend/src/api.ts:509,none
GET,/api/tasks/logs/recent,backend.app.api.v1.endpoints.task,task_logs_recent,task_logs_recent,<class 'dict'>,sensitive,none,authenticated+permission:task:diagnostics,task:diagnostics,admin|developer,no,no,none,none
GET,/api/tasks/overview,backend.app.api.v1.endpoints.task,task_center_overview,task_center_overview,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,frontend/src/api.ts:486,none
GET,/api/tasks/queues/overview,backend.app.api.v1.endpoints.task,task_queues_overview,task_queues_overview,<class 'dict'>,sensitive,none,authenticated+permission:task:diagnostics,task:diagnostics,admin|developer,no,no,frontend/src/api.ts:502,none
GET,/api/tasks/retry/recent,backend.app.api.v1.endpoints.task,task_retry_recent,task_retry_recent,<class 'dict'>,sensitive,none,authenticated+permission:task:diagnostics,task:diagnostics,admin|developer,no,no,frontend/src/api.ts:501,none
POST,/api/tasks/run,backend.app.api.v1.endpoints.task,task_run,task_run,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:505,none
GET,/api/tasks/runs,backend.app.api.v1.endpoints.task,task_runs,task_runs,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,none,none
POST,/api/tasks/start,backend.app.api.v1.endpoints.task,task_start,task_start,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:504,none
GET,/api/tasks/trend,backend.app.api.v1.endpoints.task,task_trend_api,task_trend_api,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,frontend/src/api.ts:503,none
GET,/api/tasks/{task_id},backend.app.api.v1.endpoints.task,task_detail,task_detail,<class 'dict'>,business,none,authenticated+permission:task:read,task:read,admin|analyst|developer,no,no,frontend/src/api.ts:486;frontend/src/api.ts:503;frontend/src/api.ts:504;frontend/src/api.ts:505;frontend/src/api.ts:509;frontend/src/api.ts:510,none
POST,/api/tasks/{task_id}/cancel,backend.app.api.v1.endpoints.task,task_cancel,task_cancel,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:511,none
GET,/api/tasks/{task_id}/logs,backend.app.api.v1.endpoints.task,task_logs,task_logs,<class 'dict'>,sensitive,none,authenticated+permission:task:diagnostics,task:diagnostics,admin|developer,no,no,frontend/src/api.ts:518,none
POST,/api/tasks/{task_id}/retry,backend.app.api.v1.endpoints.task,task_retry,task_retry,<class 'dict'>,admin,auth:get_current_user|permission:task:run,authenticated+permission:task:manage,task:manage,admin,no,yes,frontend/src/api.ts:512,none
GET,/api/users,backend.app.api.v1.endpoints.users,user_list,user_list,<class 'dict'>,sensitive,auth:get_current_user|permission:user:read,authenticated+permission:user:read,user:read,admin|developer,no,no,frontend/src/api.ts:194,same-path methods=GET|POST
POST,/api/users,backend.app.api.v1.endpoints.users,user_create,user_create,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:194,same-path methods=GET|POST
GET,/api/users/roles,backend.app.api.v1.endpoints.users,user_roles,user_roles,<class 'dict'>,sensitive,auth:get_current_user|permission:user:read,authenticated+permission:user:read,user:read,admin|developer,no,no,frontend/src/api.ts:193,none
DELETE,/api/users/{user_id},backend.app.api.v1.endpoints.users,user_disable,user_disable,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:193;frontend/src/api.ts:196;frontend/src/api.ts:203,same-path methods=DELETE|PATCH
PATCH,/api/users/{user_id},backend.app.api.v1.endpoints.users,user_update,user_update,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:193;frontend/src/api.ts:196;frontend/src/api.ts:203,same-path methods=DELETE|PATCH
POST,/api/users/{user_id}/reset-password,backend.app.api.v1.endpoints.users,user_reset_password,user_reset_password,<class 'dict'>,admin,auth:get_current_user|permission:user:write,authenticated+permission:user:write,user:write,admin,no,yes,frontend/src/api.ts:198,none
GET,/api/weather/forecast,backend.app.api.v1.endpoints.forecast,stage1_weather_forecast,stage1_weather_forecast,<class 'dict'>,business,none,authenticated+permission:forecast:read,forecast:read,admin|analyst|viewer|reviewer|developer,no,no,none,none
GET,/docs,fastapi.applications,swagger_ui_html,swagger_ui_html,,public,none,explicit-public-whitelist,,anonymous,yes,no,none,none
GET,/docs/oauth2-redirect,fastapi.applications,swagger_ui_redirect,swagger_ui_redirect,,public,none,explicit-public-whitelist,,anonymous,yes,no,none,none
GET,/health,backend.app.api.v1.endpoints.system,root_health,root_health,<class 'dict'>,public,none,explicit-public-whitelist,,anonymous,yes,no,none,none
GET,/openapi.json,fastapi.applications,openapi,openapi,,public,none,explicit-public-whitelist,,anonymous,yes,no,none,none
GET,/redoc,fastapi.applications,redoc_html,redoc_html,,public,none,explicit-public-whitelist,,anonymous,yes,no,none,none
